3T4,,,
5BK,,,
A79,,,
AAN,,,
ADK,,,
ADQ,,,
AFE,,,
AFN,,,
AFP,Wadesboro,NC,US
AIN,,,
AKN,,,
AKP,,,
Anc,Anchorage,AK,US
AQP,,,
AQT,,,
AQY,,,
ARC,,,
ARL,,,
ARN,,,
ATL,,,
ATL,,,
AUH,Abu Dhabi,,AE
AUS,,,
AVP,Scranton,PA,US
BAR,,,
BCC,,,
BDA,,,
BET,Bethal,AK,US
BKC,,,
BLI,,,
BLK,Blackpool,,UK
BLM,,,
BME,,,
BOG,,,
BOS,Boston,MA,US
BRS,,,
BRW,Barrow,AK,US
BTI,,,
BTT,Bettles,AK,US
BTV,Burlington,VT,US
CAY,,,
CCS,,,
CDV,,,
CHE,Cahersiveen,,IE
CIB,,,
CKU,Cordova,AK,US
CKX,,,
CLE ,Cleveland,OH,US
CMN,,,
CNS,,,
CPH,,,
CRG,,,
CTS,,,
CTS,,,
CVG,Hebron,KY,US
CXC,,,
CXF,,,
CYX,,,
DAR,,,
DCA,Arlington,VA,US
DEL,Delhi,,IN
DEN,Denver,CO,US
DFW,Dallas,TX,US
DJN,Delta Junction,AK,US
DLH,,,
DMK,,,
DSC,,,
DUB,Dublin,,IE
DUT,,,
EDF,,,
EDI,,,
ELV,,,
EMK,,,
EMO,,,
ENA,Kenai,AK,US
ENM,,,
ENN,Nenana,AK,US
EWR,,,
EZE,,,
FAI,Fairbanks,AK,US
FBK,,,
FCO,Rome,,IT
FSD,,,
FYU,Ft. Yukon,AK,US
GAL,Galena,AK,US
GBH,,,
GEG,,,
GOH,,,
GPS,Balta,EC-W,EC
GRU,,,
GRU,,,
GSO,,,
GST,Gustavus,AK,US
GUA,,,
GYE,,,
HEA,Herat,,AF
HEL,,,
HEM,,,
HKB,,,
HLP,Jakarta,,ID
HNL,Honolulu,HI ,US
HOB,,,
HOM,Homer,Ak,US
HOU,,,
HPB,,,
HRR,,,
HSL,,,
ICN ,Seoul,,KR
IGG,,,
ILI,,,
IND,,,
IRC,,,
IST ,Istanbul,,TR
ITH,,,
ITM,,,
JNB,Johannesberg,,ZA
JNU,Juneau,AK,US
JPY,,,
JRO,,,
JUN,,,
JUV,,,
KAL,,,
KEF,Keflavík,,IS
KET,,,
KKN,,,
KLW,,,
KNK,Kokhanok,Ak,US
KOA,Kona,HI ,US
KTB,,,
KTN,,,
KUK,,,
KVC ,Cold Bay, AK,US
KYZ,Tyva,,RU
LAS,Las Vegas,NV,US
LAX,,,
LBV,,,
LED,St. Petersburg,,RU
LGA,,,
LHR,London,,UK
LHR,,,
LIM,,,
LIS,,,
LMA,,,
LPB,,,
LTW,,,
LWS,Lewiston,ID,US
LYR,,,
MAD,,,
MCI,,,
MCL,,,
MEX,Mexico City,,MX
MGA,,,
MIA,Miami,FL,US
MKE ,Milwaukee,WI,US
MNL,,,
MNT,,,
MOU,,,
MSP,St. Paul,MN,US
MTG,,,
MUC,,,
MUY ,Toolik,AK,US
MXY,,,
NCN,Seward,AK,US
NIB,,,
NRT,,,
NTY,,,
NUI,,,
NZ0B,Palmer Station,,ANTARCTICA
OAK,Oakland,CA,US
OBU,,,
OME,Nome,AK,US
ONM,,,
OOK,Toksook Bay,AK,US
ORB,Orr,MN,US
ORD,Chicago,IL,US
OSL,,,
OSU,,,
OTZ,Kotzeube,AK,US
PAO,Palo Alto,CA,US
PAQ,,,
PBM,,,
PBS,,,
PDX,Portland,OR,US
PEK,,,
PFRR,,,
PHX,,,
PIT ,Pittsburg ,PA,US
PKC,Kamchatka,,RU
POS,,,
PSC ,Pasco,WA,US
PSG,,,
PTY,,,
PUQ,,,
PWM,Portland,ME,US
RKV,,,
RNO,Reno,NV,US
RUS,,,
SAF,,,
SAN,,,
SBA,,,
SBP,,,
SCC,Purdhoe Bay,AK,US
SCL,,,
SEA,Seattle,WA,US
SFO,,,
SHG,,,
SIT,Sitka,AK,US
SJC,San Jose,CA,US
SJO,,,
SKN,,,
SLC,,,
SMF,Sacramento,CA,US
SNP,,,
SSC,,,
STG,,,
STK,,,
STL,,,
SVO,,,
SWD ,Seward,AK,US
TAL,,,
TFS,Santa Cruz de Tenerife,,ES
TGU,,,
TKJ,Tok,AK,US
TNR,,,
TOG,,,
TOS,,,
TPA,Tampa,Fl,US
TSF,Treviso,,IT
TTW,,,
TUS,,,
UME,,,
UMT,,,
UNK,,,
USC,,,
UTP ,Rayong,,TH
UUO,Willow,AK,US
VAL,,,
VDZ,,,
VIE ,Vienna,,AT
VPS,Eglin,FL,US
VVO,,,
VZR,,,
WAA,,,
WAW,,,
WBQ,,,
WDH,Windhoek,,NA
WLK,,,
WSM,,,
YAK,,,
YEG,,,
YEV,Inuvik,NT,CA
YUL,,,
YVR,,,
YXY,,,
YYC,,,
YYJ,,,
ZRH,Kloten,,SE
